XML,SW
100400,10
100401,11
100402,12
100403,13
110000,14
100406,15
100405,16
100300,17
100302,18
100301,19
100303,20
100304,21
100002,22
100006,23
100005,24
100003,25
100004,26
100000,27
100009,28
100007,29
100002,30
100001,31
100010,32
100201,33
100200,34
100202,35
100203,36
100204,37
100501,45
100500,44
100502,46
120601,48
120100,49
120600,50
120102,67
120300,52
120301,53
150100,55
150102,56
150101,57
120203,59
130003,60
130000,61
130004,62
120002,65
120101,66
120102,67
120900,68
190003,70
201206,73
200100,71
201204,72
100205,76
150004,77
160001,78
150003,78
120700,79
120200,80
120201,81
100011,82
100700,83
100701,83
100207,85
100206,86
150007,88
200701,71
200703,71
200706,71
200700,71
200708,71
201100,89
201401,91
121100,35
120004,93
121000,93
200901,94
120003,95
120602,30
120000,68
100001,31
120006,68
120100,66
100100,96
100800,17
120401,97
120001,66
120400,97

